from_id,to_id,relevance_score
evt_1291631745,topic_politics,0.8
evt_1291631746,topic_politics,0.8
evt_1291631747,topic_politics,0.8
evt_1291631748,topic_politics,0.808
evt_1291631749,topic_politics,0.94
evt_1291631750,topic_security,0.88
evt_1291631751,topic_politics,0.8
evt_1291631752,topic_politics,0.8
evt_1291631753,topic_politics,0.8
evt_1291631754,topic_politics,0.916
evt_1291631755,topic_politics,0.916
evt_1291631756,topic_politics,0.88
evt_1291631757,topic_security,1.0
evt_1291631758,topic_security,1.0
evt_1291631759,topic_security,1.0
evt_1291631760,topic_politics,0.8
evt_1291631761,topic_politics,0.8
evt_1291631762,topic_politics,0.87
evt_1291631763,topic_politics,1.0
evt_1291631764,topic_politics,0.8
evt_1291631765,topic_politics,0.93
evt_1291631766,topic_security,0.94
evt_1291631767,topic_security,0.88
evt_1291631768,topic_security,0.88
evt_1291631769,topic_security,0.88
evt_1291631770,topic_security,0.88
evt_1291631771,topic_security,0.88
evt_1291631772,topic_security,0.88
evt_1291631773,topic_security,0.88
evt_1291631774,topic_security,0.88
evt_1291631775,topic_politics,0.838
evt_1291631776,topic_security,0.88
evt_1291631777,topic_security,0.88
evt_1291631778,topic_politics,0.856
evt_1291631779,topic_politics,0.856
evt_1291631780,topic_politics,0.856
evt_1291631781,topic_politics,0.838
evt_1291631782,topic_politics,0.838
evt_1291631783,topic_security,0.88
evt_1291631784,topic_security,0.88
evt_1291631785,topic_politics,0.94
evt_1291631786,topic_politics,0.94
evt_1291631787,topic_politics,0.868
evt_1291631788,topic_politics,0.94
evt_1291631789,topic_politics,0.94
evt_1291631790,topic_security,1.0
evt_1291631791,topic_politics,0.856
evt_1291631792,topic_security,1.0
evt_1291631793,topic_politics,0.904
evt_1291631794,topic_politics,0.838
evt_1291631795,topic_politics,0.838
evt_1291631796,topic_politics,0.856
evt_1291631797,topic_politics,0.84
evt_1291631798,topic_politics,0.84
evt_1291631799,topic_politics,0.84
evt_1291631800,topic_politics,0.88
evt_1291631801,topic_politics,0.88
evt_1291631802,topic_politics,0.82
evt_1291631803,topic_politics,0.838
evt_1291631804,topic_politics,0.856
evt_1291631805,topic_politics,0.856
evt_1291631806,topic_politics,0.948
evt_1291631807,topic_politics,0.838
evt_1291631808,topic_politics,0.838
evt_1291631809,topic_politics,0.868
evt_1291631810,topic_politics,0.868
evt_1291631811,topic_politics,0.82
evt_1291631812,topic_politics,0.838
evt_1291631813,topic_politics,0.88
evt_1291631814,topic_politics,0.838
evt_1291631815,topic_politics,0.8
evt_1291631816,topic_politics,0.86
evt_1291631817,topic_politics,0.88
evt_1291631818,topic_politics,0.838
evt_1291631819,topic_politics,0.856
evt_1291631820,topic_politics,0.856
evt_1291631821,topic_politics,0.948
evt_1291631822,topic_politics,0.9
evt_1291631823,topic_politics,0.9
evt_1291631824,topic_politics,0.9
evt_1291631825,topic_politics,0.88
evt_1291631826,topic_politics,0.88
evt_1291631827,topic_politics,0.88
evt_1291631828,topic_politics,0.856
evt_1291631829,topic_politics,0.856
evt_1291631830,topic_politics,0.856
evt_1291631831,topic_politics,0.92
evt_1291631832,topic_politics,0.948
evt_1291631833,topic_politics,0.948
evt_1291631834,topic_politics,0.84
evt_1291631835,topic_security,1.0
evt_1291631836,topic_security,1.0
evt_1291631837,topic_politics,0.838
evt_1291631838,topic_politics,0.838
evt_1291631839,topic_politics,0.838
evt_1291631840,topic_politics,0.94
evt_1291631841,topic_politics,0.94
evt_1291631842,topic_politics,0.88
evt_1291631843,topic_politics,0.88
evt_1291631844,topic_politics,0.88
evt_1291631845,topic_politics,0.88
evt_1291631846,topic_politics,0.88
evt_1291631847,topic_politics,0.838
evt_1291631848,topic_politics,0.856
evt_1291631849,topic_politics,0.856
evt_1291631850,topic_politics,0.94
evt_1291631851,topic_politics,0.94
evt_1291631852,topic_politics,0.94
evt_1291631853,topic_politics,0.94
evt_1291631854,topic_politics,0.94
evt_1291631855,topic_security,1.0
evt_1291631856,topic_security,1.0
evt_1291631857,topic_security,1.0
evt_1291631858,topic_politics,0.856
evt_1291631859,topic_politics,0.82
evt_1291631860,topic_security,1.0
evt_1291631861,topic_politics,0.808
evt_1291631862,topic_politics,0.904
evt_1291631863,topic_politics,0.88
evt_1291631864,topic_politics,0.88
evt_1291631865,topic_politics,0.88
evt_1291631866,topic_politics,0.88
evt_1291631867,topic_politics,0.88
evt_1291631868,topic_politics,0.88
evt_1291631869,topic_politics,0.82
evt_1291631870,topic_politics,0.82
evt_1291631871,topic_politics,0.838
evt_1291631872,topic_politics,0.856
evt_1291631873,topic_politics,0.94
evt_1291631874,topic_politics,0.94
evt_1291631875,topic_politics,0.94
evt_1291631876,topic_politics,0.868
evt_1291631877,topic_politics,0.868
evt_1291631878,topic_politics,0.868
evt_1291631879,topic_politics,0.948
evt_1291631880,topic_politics,0.94
evt_1291631881,topic_politics,0.84
evt_1291631882,topic_politics,0.93
evt_1291631883,topic_security,0.98
evt_1291631884,topic_security,1.0
evt_1291631885,topic_security,1.0
evt_1291631886,topic_security,1.0
evt_1291631887,topic_security,1.0
evt_1291631888,topic_politics,0.88
evt_1291631889,topic_politics,0.88
evt_1291631890,topic_politics,0.94
evt_1291631891,topic_politics,0.94
evt_1291631892,topic_politics,0.94
evt_1291631893,topic_politics,0.82
evt_1291631894,topic_politics,0.8
evt_1291631895,topic_politics,0.808
evt_1291631896,topic_politics,0.88
evt_1291631897,topic_politics,0.88
evt_1291631898,topic_politics,0.82
evt_1291631899,topic_politics,0.82
evt_1291631900,topic_politics,0.856
evt_1291631901,topic_politics,0.94
evt_1291631902,topic_politics,0.94
evt_1291631903,topic_politics,0.94
evt_1291631904,topic_politics,0.94
evt_1291631905,topic_politics,0.94
evt_1291631906,topic_politics,0.868
evt_1291631907,topic_politics,0.868
evt_1291631908,topic_politics,0.9
evt_1291631909,topic_politics,0.84
evt_1291631910,topic_politics,0.84
evt_1291631911,topic_politics,0.84
evt_1291631912,topic_politics,0.84
evt_1291631913,topic_politics,0.84
evt_1291631914,topic_politics,0.888
evt_1291631915,topic_politics,0.888
evt_1291631916,topic_politics,0.93
evt_1291631917,topic_politics,0.93
evt_1291631918,topic_security,1.0
evt_1291631919,topic_security,1.0
evt_1291631920,topic_security,1.0
evt_1291631921,topic_security,1.0
evt_1291631922,topic_security,1.0
evt_1291631923,topic_security,1.0
evt_1291631924,topic_politics,0.838
evt_1291631925,topic_politics,0.838
evt_1291631926,topic_politics,0.838
evt_1291631927,topic_security,1.0
evt_1291631928,topic_politics,1.0
evt_1291631929,topic_politics,0.88
evt_1291631930,topic_politics,0.88
evt_1291631931,topic_politics,0.838
evt_1291631932,topic_politics,0.838
evt_1291631933,topic_politics,0.856
evt_1291631934,topic_politics,0.94
evt_1291631935,topic_politics,0.87
evt_1291631936,topic_politics,0.87
evt_1291631937,topic_politics,0.868
evt_1291631938,topic_security,1.0
evt_1291631939,topic_security,1.0
evt_1291631940,topic_security,1.0
evt_1291631941,topic_security,1.0
evt_1291631942,topic_security,1.0
evt_1291631943,topic_politics,0.9
evt_1291631944,topic_politics,0.9
evt_1291631945,topic_politics,0.838
evt_1291631946,topic_politics,0.82
evt_1291631947,topic_politics,0.82
evt_1291631948,topic_politics,0.82
evt_1291631949,topic_politics,0.94
evt_1291631950,topic_politics,0.94
evt_1291631951,topic_politics,0.88
evt_1291631952,topic_politics,0.856
evt_1291631953,topic_politics,0.88
evt_1291631954,topic_politics,0.856
evt_1291631955,topic_politics,0.856
evt_1291631956,topic_politics,0.856
evt_1291631957,topic_politics,0.868
evt_1291631958,topic_politics,0.948
evt_1291631959,topic_politics,0.84
evt_1291631960,topic_politics,0.888
evt_1291631961,topic_security,1.0
evt_1291631962,topic_security,1.0
evt_1291631963,topic_security,1.0
evt_1291631964,topic_security,1.0
evt_1291631965,topic_security,1.0
evt_1291631966,topic_security,1.0
evt_1291631967,topic_security,1.0
evt_1291631968,topic_politics,0.838
evt_1291631969,topic_politics,0.868
evt_1291631970,topic_politics,0.856
evt_1291631971,topic_politics,0.838
evt_1291631972,topic_politics,0.838
evt_1291631973,topic_politics,0.838
evt_1291631974,topic_politics,0.838
evt_1291631975,topic_politics,0.84
evt_1291631976,topic_politics,0.838
evt_1291631977,topic_politics,0.838
evt_1291631978,topic_politics,0.868
evt_1291631979,topic_politics,0.868
evt_1291631980,topic_politics,0.9
evt_1291631981,topic_politics,0.9
evt_1291631982,topic_politics,0.88
evt_1291631983,topic_security,1.0
evt_1291631984,topic_security,1.0
evt_1291631985,topic_politics,0.94
evt_1291631986,topic_politics,0.86
evt_1291631987,topic_politics,0.88
evt_1291631988,topic_politics,0.88
evt_1291631989,topic_politics,0.88
evt_1291631990,topic_politics,0.88
evt_1291631991,topic_politics,0.838
evt_1291631992,topic_politics,0.838
evt_1291631993,topic_politics,0.838
evt_1291631994,topic_politics,0.838
evt_1291631995,topic_politics,0.838
evt_1291631996,topic_politics,0.838
evt_1291631997,topic_politics,0.838
evt_1291631998,topic_politics,0.838
evt_1291631999,topic_politics,0.856
evt_1291632000,topic_politics,0.856
evt_1291632001,topic_politics,0.94
evt_1291632002,topic_politics,0.87
evt_1291632003,topic_politics,0.87
evt_1291632004,topic_politics,0.868
evt_1291632005,topic_politics,0.94
evt_1291632006,topic_politics,0.94
evt_1291632007,topic_politics,1.0
evt_1291632008,topic_politics,0.84
evt_1291632009,topic_politics,0.888
evt_1291632010,topic_politics,0.888
evt_1291632011,topic_security,0.9
evt_1291632012,topic_security,0.9
