from_id,to_id,strength,lag_days,polarity,influence_type
evt_1294984474,evt_1294984475,0.816,1,1,direct
evt_1291632231,evt_1291632246,0.528,1,-1,indirect
evt_1291633241,evt_1291632274,0.75,1,1,thematic
evt_1291634059,evt_1291632274,0.75,1,-1,thematic
evt_1291634028,evt_1291632274,0.722,1,1,thematic
evt_1291632274,evt_1291634041,0.805,1,1,direct
evt_1291633241,evt_1291634041,0.75,1,1,thematic
evt_1291634059,evt_1291634041,0.75,1,-1,thematic
evt_1291996864,evt_1291996866,0.75,1,1,thematic
evt_1291632231,evt_1291996866,0.566,2,1,thematic
evt_1291632274,evt_1291996866,0.543,2,1,thematic
evt_1291996866,evt_1292100045,0.736,1,1,thematic
evt_1291632231,evt_1292100045,0.566,2,1,thematic
evt_1291632274,evt_1292100045,0.543,2,1,thematic
evt_1291996866,evt_1292100051,0.736,1,-1,thematic
evt_1292100045,evt_1292100051,0.706,1,-1,thematic
evt_1291632231,evt_1292100051,0.566,2,-1,thematic
evt_1291996866,evt_1291997280,0.736,1,1,thematic
evt_1292100045,evt_1291997280,0.706,1,1,thematic
evt_1292100051,evt_1291997280,0.706,1,-1,thematic
evt_1291996866,evt_1291995403,0.736,1,1,thematic
evt_1292100045,evt_1291995403,0.706,1,1,thematic
evt_1292100051,evt_1291995403,0.706,1,-1,thematic
evt_1291996866,evt_1291995417,0.736,1,1,thematic
evt_1292100045,evt_1291995417,0.706,1,1,thematic
evt_1292100051,evt_1291995417,0.706,1,-1,thematic
evt_1291996866,evt_1292218695,0.667,1,1,thematic
evt_1292100045,evt_1292218695,0.637,1,1,thematic
evt_1292100051,evt_1292218695,0.637,1,-1,thematic
evt_1292218695,evt_1292218230,0.75,1,-1,thematic
evt_1291996866,evt_1292218230,0.667,1,-1,thematic
evt_1292100045,evt_1292218230,0.637,1,-1,thematic
evt_1292218695,evt_1292218705,0.75,1,1,thematic
evt_1292218230,evt_1292218705,0.742,1,-1,thematic
evt_1291996866,evt_1292218705,0.667,1,1,thematic
evt_1292218695,evt_1292218727,0.75,1,1,thematic
evt_1292218230,evt_1292218727,0.742,1,-1,thematic
evt_1292218705,evt_1292218727,0.742,1,1,thematic
evt_1291997280,evt_1292221053,0.604,1,-1,direct
evt_1292218695,evt_1292221053,0.6,1,-1,indirect
evt_1292218230,evt_1292221053,0.592,1,1,indirect
evt_1292221053,evt_1292219928,0.712,1,1,thematic
evt_1291996375,evt_1292219928,0.62,1,1,thematic
evt_1292218695,evt_1292219928,0.6,1,-1,indirect
evt_1292221053,evt_1292218766,0.862,1,1,direct
evt_1292219928,evt_1292218766,0.685,1,1,thematic
evt_1291997280,evt_1292218766,0.604,1,-1,direct
evt_1292221053,evt_1292219780,0.712,1,1,thematic
evt_1292219928,evt_1292219780,0.685,1,1,thematic
evt_1292218766,evt_1292219780,0.682,1,1,thematic
evt_1292218695,evt_1292442223,0.681,1,1,thematic
evt_1292218230,evt_1292442223,0.673,1,-1,thematic
evt_1292218705,evt_1292442223,0.673,1,1,thematic
evt_1292218695,evt_1292672906,0.638,2,1,thematic
evt_1292218230,evt_1292672906,0.629,2,-1,thematic
evt_1292218705,evt_1292672906,0.629,2,1,thematic
evt_1292672906,evt_1292672920,0.727,1,1,thematic
evt_1292218695,evt_1292672920,0.638,2,1,thematic
evt_1292218230,evt_1292672920,0.629,2,-1,thematic
evt_1292672906,evt_1292672958,0.727,1,1,thematic
evt_1292672920,evt_1292672958,0.727,1,1,thematic
evt_1292218695,evt_1292672958,0.638,2,1,thematic
evt_1292672906,evt_1292672894,0.727,1,1,thematic
evt_1292672920,evt_1292672894,0.727,1,1,thematic
evt_1292672958,evt_1292672894,0.727,1,1,thematic
evt_1292672906,evt_1292672905,0.727,1,1,thematic
evt_1292672920,evt_1292672905,0.727,1,1,thematic
evt_1292672958,evt_1292672905,0.727,1,1,thematic
evt_1292672405,evt_1292672833,0.75,1,1,thematic
evt_1292672820,evt_1292672833,0.75,1,1,thematic
evt_1292672838,evt_1292672833,0.75,1,1,thematic
evt_1292221053,evt_1292672926,0.6,2,1,thematic
evt_1292672906,evt_1292672926,0.577,1,-1,indirect
evt_1292672920,evt_1292672926,0.577,1,-1,indirect
evt_1292672833,evt_1292672931,0.83,1,1,direct
evt_1292672405,evt_1292672931,0.75,1,1,thematic
evt_1292672820,evt_1292672931,0.75,1,1,thematic
evt_1292672958,evt_1292672956,0.877,1,1,direct
evt_1292672906,evt_1292672956,0.727,1,1,thematic
evt_1292672920,evt_1292672956,0.727,1,1,thematic
evt_1292672906,evt_1292672913,0.727,1,1,thematic
evt_1292672920,evt_1292672913,0.727,1,1,thematic
evt_1292672958,evt_1292672913,0.727,1,1,thematic
evt_1292672958,evt_1292672957,0.877,1,1,direct
evt_1292672956,evt_1292672957,0.826,1,1,direct
evt_1292672906,evt_1292672957,0.727,1,1,thematic
evt_1292672906,evt_1292884785,0.658,1,1,thematic
evt_1292672920,evt_1292884785,0.658,1,1,thematic
evt_1292672958,evt_1292884785,0.658,1,1,thematic
evt_1292884785,evt_1292885170,0.75,1,1,thematic
evt_1292672906,evt_1292885170,0.658,1,1,thematic
evt_1292672920,evt_1292885170,0.658,1,1,thematic
evt_1292672833,evt_1292885123,0.761,1,1,direct
evt_1292672931,evt_1292885123,0.761,1,1,direct
evt_1292884785,evt_1292885123,0.75,1,1,thematic
evt_1292885123,evt_1292885193,0.794,1,1,direct
evt_1292672833,evt_1292885193,0.761,1,1,direct
evt_1292672931,evt_1292885193,0.761,1,1,direct
evt_1292884785,evt_1292886755,0.75,1,1,thematic
evt_1292885170,evt_1292886755,0.75,1,1,thematic
evt_1292672906,evt_1292886755,0.658,1,1,thematic
evt_1292884785,evt_1292885168,0.75,1,1,thematic
evt_1292885170,evt_1292885168,0.75,1,1,thematic
evt_1292672906,evt_1292885168,0.658,1,1,thematic
evt_1292884785,evt_1292885182,0.75,1,1,thematic
evt_1292885170,evt_1292885182,0.75,1,1,thematic
evt_1292672906,evt_1292885182,0.658,1,1,thematic
evt_1292886755,evt_1293154127,0.681,2,1,direct
evt_1292884785,evt_1293154127,0.638,2,1,thematic
evt_1292885170,evt_1293154127,0.638,2,1,thematic
evt_1292884785,evt_1293335274,0.608,3,1,thematic
evt_1292885170,evt_1293335274,0.608,3,1,thematic
evt_1293154127,evt_1293335274,0.583,1,1,thematic
evt_1293335274,evt_1293734229,0.558,2,-1,thematic
evt_1293154127,evt_1293734229,0.51,3,-1,thematic
evt_1293734229,evt_1293734647,0.75,1,-1,thematic
evt_1293154377,evt_1293734647,0.608,3,1,thematic
evt_1293153943,evt_1293734647,0.572,3,1,thematic
evt_1293734229,evt_1293734772,0.75,1,-1,thematic
evt_1293734647,evt_1293734772,0.75,1,1,thematic
evt_1293335274,evt_1293734772,0.558,2,1,thematic
evt_1293734229,evt_1293734961,0.75,1,-1,thematic
evt_1293734647,evt_1293734961,0.75,1,1,thematic
evt_1293734772,evt_1293734961,0.75,1,1,thematic
evt_1293734229,evt_1293734225,0.75,1,1,thematic
evt_1293734647,evt_1293734225,0.75,1,-1,thematic
evt_1293734772,evt_1293734225,0.75,1,-1,thematic
evt_1293734229,evt_1293733880,0.6,1,1,indirect
evt_1293734647,evt_1293733880,0.6,1,-1,indirect
evt_1293734772,evt_1293733880,0.6,1,-1,indirect
evt_1293733880,evt_1293734233,0.647,1,1,thematic
evt_1293734229,evt_1293734233,0.6,1,1,indirect
evt_1293734647,evt_1293734233,0.6,1,-1,indirect
evt_1293734229,evt_1293940799,0.681,1,-1,thematic
evt_1293734647,evt_1293940799,0.681,1,1,thematic
evt_1293734772,evt_1293940799,0.681,1,1,thematic
evt_1293940799,evt_1293940837,0.75,1,1,thematic
evt_1293734229,evt_1293940837,0.681,1,-1,thematic
evt_1293734647,evt_1293940837,0.681,1,1,thematic
evt_1293940799,evt_1293941581,0.75,1,1,thematic
evt_1293940837,evt_1293941581,0.75,1,1,thematic
evt_1293734229,evt_1293941581,0.681,1,-1,thematic
evt_1293940799,evt_1293940803,0.75,1,1,thematic
evt_1293940837,evt_1293940803,0.75,1,1,thematic
evt_1293941581,evt_1293940803,0.691,1,1,thematic
evt_1293940837,evt_1293940838,0.9,1,1,direct
evt_1293940799,evt_1293940838,0.75,1,1,thematic
evt_1293941581,evt_1293940838,0.691,1,1,thematic
evt_1293941581,evt_1293941583,0.691,1,-1,direct
evt_1293940799,evt_1293941583,0.6,1,-1,indirect
evt_1293940837,evt_1293941583,0.6,1,-1,indirect
evt_1293941581,evt_1294140109,0.772,1,1,direct
evt_1293940799,evt_1294140109,0.681,1,1,thematic
evt_1293940837,evt_1294140109,0.681,1,1,thematic
evt_1294140109,evt_1294140110,0.9,1,1,direct
evt_1293941581,evt_1294140110,0.772,1,1,direct
evt_1293940799,evt_1294140110,0.681,1,1,thematic
evt_1293734647,evt_1294140103,0.787,2,1,direct
evt_1294140109,evt_1294140103,0.75,1,1,thematic
evt_1294140110,evt_1294140103,0.75,1,1,thematic
evt_1293941583,evt_1294389047,0.647,3,1,direct
evt_1294140109,evt_1294389047,0.637,2,-1,direct
evt_1294140110,evt_1294389047,0.637,2,-1,direct
evt_1294140109,evt_1294575775,0.608,3,1,thematic
evt_1294140110,evt_1294575775,0.608,3,1,thematic
evt_1294389047,evt_1294575775,0.531,1,-1,indirect
evt_1294575775,evt_1294781110,0.579,1,-1,thematic
evt_1294389047,evt_1294781110,0.488,2,1,indirect
evt_1294781110,evt_1294781114,0.707,1,1,thematic
evt_1294575775,evt_1294781114,0.579,1,-1,thematic
evt_1294389047,evt_1294781114,0.488,2,1,indirect
evt_1294781110,evt_1294781082,0.707,1,-1,thematic
evt_1294781114,evt_1294781082,0.707,1,-1,thematic
evt_1294575775,evt_1294781082,0.579,1,1,thematic
evt_1294781110,evt_1294781140,0.707,1,1,thematic
evt_1294781114,evt_1294781140,0.707,1,1,thematic
evt_1294781082,evt_1294781140,0.698,1,-1,thematic
evt_1294781140,evt_1294781141,0.821,1,1,direct
evt_1294781110,evt_1294781141,0.707,1,1,thematic
evt_1294781114,evt_1294781141,0.707,1,1,thematic
evt_1294781110,evt_1294781142,0.707,1,1,thematic
evt_1294781114,evt_1294781142,0.707,1,1,thematic
evt_1294781082,evt_1294781142,0.698,1,-1,thematic
evt_1294781110,evt_1294872745,0.707,1,-1,thematic
evt_1294781114,evt_1294872745,0.707,1,-1,thematic
evt_1294781082,evt_1294872745,0.698,1,1,thematic
evt_1294781110,evt_1294781030,0.707,1,-1,thematic
evt_1294781114,evt_1294781030,0.707,1,-1,thematic
evt_1294781082,evt_1294781030,0.698,1,1,thematic
evt_1294781030,evt_1294781125,0.802,1,1,direct
evt_1294781110,evt_1294781125,0.707,1,-1,thematic
evt_1294781114,evt_1294781125,0.707,1,-1,thematic
evt_1294781030,evt_1294781126,0.802,1,1,direct
evt_1294781125,evt_1294781126,0.802,1,1,direct
evt_1294781110,evt_1294781126,0.707,1,-1,thematic
evt_1294781110,evt_1294984988,0.637,1,-1,thematic
evt_1294781114,evt_1294984988,0.637,1,-1,thematic
evt_1294781082,evt_1294984988,0.629,1,1,thematic
evt_1294984988,evt_1294987130,0.805,1,1,direct
evt_1294781110,evt_1294987130,0.637,1,-1,thematic
evt_1294781114,evt_1294987130,0.637,1,-1,thematic
evt_1294984988,evt_1294984961,0.655,1,-1,thematic
evt_1294987130,evt_1294984961,0.655,1,-1,thematic
evt_1294781110,evt_1294984961,0.637,1,1,thematic
evt_1294781110,evt_1295186001,0.594,2,-1,thematic
evt_1294781114,evt_1295186001,0.594,2,-1,thematic
evt_1294984988,evt_1295186001,0.586,1,1,thematic
evt_1295186001,evt_1295186002,0.789,1,1,direct
evt_1294781110,evt_1295186002,0.594,2,-1,thematic
evt_1294781114,evt_1295186002,0.594,2,-1,thematic
evt_1295186001,evt_1295186003,0.789,1,1,direct
evt_1295186002,evt_1295186003,0.789,1,1,direct
evt_1294781110,evt_1295186003,0.594,2,-1,thematic
evt_1295186001,evt_1295363943,0.569,1,1,thematic
evt_1295186002,evt_1295363943,0.569,1,1,thematic
evt_1295186003,evt_1295363943,0.569,1,1,thematic
evt_1295363943,evt_1295363944,0.893,1,1,direct
evt_1295186001,evt_1295363944,0.569,1,1,thematic
evt_1295186002,evt_1295363944,0.569,1,1,thematic
evt_1295363943,evt_1295362538,0.743,1,1,thematic
evt_1295363944,evt_1295362538,0.743,1,1,thematic
evt_1295186001,evt_1295362538,0.569,1,1,thematic
evt_1295363943,evt_1295476920,0.673,1,1,thematic
evt_1295363944,evt_1295476920,0.673,1,1,thematic
evt_1295362538,evt_1295476920,0.628,1,1,thematic
evt_1295363943,evt_1295477058,0.673,1,1,thematic
evt_1295363944,evt_1295477058,0.673,1,1,thematic
evt_1295476920,evt_1295477058,0.641,1,1,thematic
evt_1295363943,evt_1295574657,0.63,2,1,thematic
evt_1295363944,evt_1295574657,0.63,2,1,thematic
evt_1295362538,evt_1295574657,0.585,2,1,thematic
evt_1295574657,evt_1295574655,0.715,1,1,thematic
evt_1295363943,evt_1295574655,0.63,2,1,thematic
evt_1295363944,evt_1295574655,0.63,2,1,thematic
evt_1295574657,evt_1295733538,0.645,1,1,thematic
evt_1295574655,evt_1295733538,0.642,1,1,thematic
evt_1295363943,evt_1295733538,0.601,3,1,thematic
evt_1295733538,evt_1295733188,0.75,1,1,thematic
evt_1295574657,evt_1295733188,0.645,1,1,thematic
evt_1295574655,evt_1295733188,0.642,1,1,thematic
evt_1295733538,evt_1295733547,0.75,1,1,thematic
evt_1295574657,evt_1295733547,0.645,1,1,thematic
evt_1295733188,evt_1295733547,0.643,1,1,thematic
evt_1295733538,evt_1296107376,0.638,2,1,thematic
evt_1295574657,evt_1296107376,0.572,3,1,thematic
evt_1295574655,evt_1296107376,0.569,3,1,thematic
evt_1296107376,evt_1296107400,0.75,1,1,thematic
evt_1295733538,evt_1296107400,0.638,2,1,thematic
evt_1295574657,evt_1296107400,0.572,3,1,thematic
evt_1296107376,evt_1296107877,0.75,1,-1,thematic
evt_1296107400,evt_1296107877,0.75,1,-1,thematic
evt_1295733538,evt_1296107877,0.638,2,-1,thematic
evt_1296107376,evt_1296108058,0.75,1,-1,thematic
evt_1296107400,evt_1296108058,0.75,1,-1,thematic
evt_1296107877,evt_1296108058,0.75,1,1,thematic
evt_1296107376,evt_1296107380,0.75,1,1,thematic
evt_1296107400,evt_1296107380,0.75,1,1,thematic
evt_1296107877,evt_1296107380,0.75,1,-1,thematic
evt_1296107376,evt_1296470865,0.638,2,1,thematic
evt_1296107400,evt_1296470865,0.638,2,1,thematic
evt_1296107877,evt_1296470865,0.638,2,-1,thematic
evt_1296470865,evt_1296470883,0.75,1,1,thematic
evt_1296107376,evt_1296470883,0.638,2,1,thematic
evt_1296107400,evt_1296470883,0.638,2,1,thematic
evt_1296470865,evt_1296470886,0.75,1,1,thematic
evt_1296470883,evt_1296470886,0.67,1,1,thematic
evt_1296107376,evt_1296470886,0.638,2,1,thematic
evt_1296470865,evt_1296594044,0.681,1,1,thematic
evt_1296107376,evt_1296594044,0.608,3,1,thematic
evt_1296107400,evt_1296594044,0.608,3,1,thematic
evt_1296594044,evt_1296594045,0.89,1,1,direct
evt_1296470865,evt_1296594045,0.681,1,1,thematic
evt_1296107376,evt_1296594045,0.608,3,1,thematic
evt_1296594044,evt_1296594046,0.89,1,-1,direct
evt_1296594045,evt_1296594046,0.89,1,-1,direct
evt_1296470865,evt_1296594046,0.681,1,-1,thematic
evt_1296594044,evt_1296593186,0.74,1,1,thematic
evt_1296594045,evt_1296593186,0.74,1,1,thematic
evt_1296594046,evt_1296593186,0.74,1,-1,thematic
evt_1296594044,evt_1296593421,0.74,1,1,thematic
evt_1296594045,evt_1296593421,0.74,1,1,thematic
evt_1296594046,evt_1296593421,0.74,1,-1,thematic
evt_1291631822,evt_1291631824,0.667,1,1,thematic
evt_1291631822,evt_1291634593,0.517,1,-1,indirect
evt_1291631824,evt_1291634593,0.501,1,-1,indirect
evt_1291634593,evt_1291633538,0.643,1,1,thematic
evt_1291631822,evt_1291633538,0.517,1,-1,indirect
evt_1291631824,evt_1291633538,0.501,1,-1,indirect
evt_1291634593,evt_1291634596,0.793,1,1,direct
evt_1291633538,evt_1291634596,0.632,1,1,thematic
evt_1291631822,evt_1291634596,0.517,1,-1,indirect
evt_1291631822,evt_1291783670,0.598,1,-1,thematic
evt_1291631824,evt_1291783670,0.582,1,-1,thematic
evt_1291634593,evt_1291783670,0.424,1,1,indirect
evt_1291783670,evt_1291875173,0.75,1,-1,thematic
evt_1291708048,evt_1291875173,0.696,1,1,direct
evt_1291631822,evt_1291875173,0.598,1,1,thematic
evt_1291875173,evt_1291874809,0.795,1,1,direct
evt_1291783670,evt_1291874809,0.75,1,-1,thematic
evt_1291708048,evt_1291874809,0.696,1,1,direct
evt_1291783670,evt_1291783524,0.75,1,1,thematic
evt_1291875173,evt_1291783524,0.645,1,-1,thematic
evt_1291874809,evt_1291783524,0.628,1,-1,thematic
evt_1291783670,evt_1291783532,0.9,1,-1,direct
evt_1291875173,evt_1291783532,0.645,1,1,thematic
evt_1291874809,evt_1291783532,0.628,1,1,thematic
evt_1291783670,evt_1292100163,0.681,1,-1,thematic
evt_1291995417,evt_1292100163,0.661,1,1,thematic
evt_1291875173,evt_1292100163,0.576,1,1,thematic
evt_1291783670,evt_1291995666,0.681,1,-1,thematic
evt_1291995417,evt_1291995666,0.661,1,1,thematic
evt_1292100163,evt_1291995666,0.635,1,1,thematic
evt_1291783670,evt_1292218264,0.638,2,-1,thematic
evt_1291995417,evt_1292218264,0.592,1,1,thematic
evt_1292100163,evt_1292218264,0.566,1,1,thematic
evt_1292218264,evt_1292219055,0.75,1,-1,thematic
evt_1291783670,evt_1292219055,0.638,2,1,thematic
evt_1291995417,evt_1292219055,0.592,1,-1,thematic
evt_1292218264,evt_1292218269,0.75,1,1,thematic
evt_1292219055,evt_1292218269,0.738,1,-1,thematic
evt_1291783670,evt_1292218269,0.638,2,-1,thematic
evt_1292218264,evt_1292218994,0.75,1,1,thematic
evt_1292219055,evt_1292218994,0.738,1,-1,thematic
evt_1292218269,evt_1292218994,0.663,1,1,thematic
evt_1291783670,evt_1292219053,0.787,2,1,direct
evt_1292218264,evt_1292219053,0.75,1,-1,thematic
evt_1292219055,evt_1292219053,0.738,1,1,thematic
evt_1292218264,evt_1292546908,0.681,1,1,thematic
evt_1292219055,evt_1292546908,0.668,1,-1,thematic
evt_1291783670,evt_1292546908,0.608,3,-1,thematic
evt_1292218264,evt_1292547186,0.681,1,1,thematic
evt_1292219055,evt_1292547186,0.668,1,-1,thematic
evt_1292546908,evt_1292547186,0.628,1,1,thematic
evt_1292218264,evt_1292672454,0.638,2,1,thematic
evt_1292219055,evt_1292672454,0.625,2,-1,thematic
evt_1292546908,evt_1292672454,0.559,1,1,thematic
evt_1292672454,evt_1292672838,0.75,1,1,thematic
evt_1292672405,evt_1292672838,0.75,1,1,thematic
evt_1292672820,evt_1292672838,0.75,1,1,thematic
evt_1292672454,evt_1292673181,0.75,1,1,thematic
evt_1292672838,evt_1292673181,0.75,1,1,thematic
evt_1292218264,evt_1292673181,0.638,2,1,thematic
